'12','03-09-2013 09:38:28','en',,'03-09-2013 09:38:28','03-09-2013 09:26:07','194.149.241.3','18','2','48','S04A4','2','0','0','0','1',,'CBT; and before this case-reports ("Fallvorstellungen")life with living in-patients with psychosomatic illness based on psychoanalytic concepts of underständing','A1','1','1','1','0','0','0',,'Psychodynamic Psychotherapy; outstanding way to cure patients, to heal them basically; but there some indications, where it will not work.','1','1','3','2','A1',,'CBT','3','3','0','3','1','supervision of team-working proceeds','A2','A3','A2','A2','A2','A2','1','3','NAD','D','SD','1','1','1','1','1','1','1','2','3','3','2','3','2','2','2','2','2','3',
'11','02-09-2013 22:19:30','en',,'02-09-2013 22:19:30','02-09-2013 22:08:27','188.100.218.254','18','1','30','S04A4','1','1','0','0','0',,'Conselin, Group Psychotherapy','A1','1','1','1','1','1','0',,,'1','1','1','1','A1',,'analytic, behavioural, semi-analytic','2','2','4','3','0',,'A2','A2','A2','A2','A2','A1','1','0','NAD','A','A','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','3','3','great survey'
'39',,'en',,'10-01-2014 15:19:19','10-01-2014 15:19:19','194.149.241.3',,,,,,'0','0','0','0',,,,,'0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'40','10-01-2014 15:51:10','en',,'10-01-2014 15:51:10','10-01-2014 15:43:42','46.177.248.199','18','2','26','S04A3','2','1','0','0','0',,'Cognitive Behavioral','A1','1','0','1','1','1','0',,,'1','2','1','1','A1',,'Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy, Interpersonal Therapy, Counselling, Gestalt Therapy, Group Psychotherapy,','0','2','0','2','0',,'A2','A2','A2','A2','A2','A2','1','10','D','NAD','D','2','2','2','2','3','3','1','2','3',,,,,,,,,,
'41','10-01-2014 17:22:48','en',,'10-01-2014 17:22:48','10-01-2014 17:14:03','194.149.241.3','18','1','43','S04A5','1','1','1','0','0',,'CBT, Trauma-Therapie, PITT','A1','1','0','1','1','1','0','Traumatherapy',,'1','2','1','2','A3',,'CBT, IPT, Group, DBT, Trauma,','0','2','0','2','0',,'A2','A3','A2','A2','A2','A1','1','5','D','SA','D','1','1','1','1','3','3','1','2','2','1','1','1','1','1','2','1','2','2',
'42',,'en',,'12-01-2014 00:40:59','12-01-2014 00:34:19','62.143.241.171','18','1','32','S04A5','1','1','0','0','0',,'Group Psychotherapy','A1','1','1','0','0','1','0',,,'1','2','1','1','A1',,'Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Therapeutic Community,','0','1','0','3',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'43','12-01-2014 10:46:27','en',,'12-01-2014 10:46:27','12-01-2014 10:36:34','217.247.61.56','18','2','28','S04A2','2','1','0','0','0',,'Cogn. Beh. Therapy','A1','1','0','1','1','0','0',,,'1','1','3','1','A1',,'Cognitive Behavioural Therapy, Psychodynamic Psychotherapy, Group Psychotherapy','0','2','1','4','0',,'A2','A2','A2','A2','A2','A2','1','2','A','NAD','D','1','1','3','1','1','1','1',,'3','1','1','3','1','1','3','3','3',,
'44',,'en',,'13-01-2014 10:22:08','13-01-2014 10:22:08','194.149.241.3',,,,,,'0','0','0','0',,,,,'0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'45',,'en',,'14-01-2014 23:23:15','14-01-2014 23:20:40','91.62.244.244','18','1','25','S04A2','2','1','0','0','0',,'Cognitive Behavioural Therapy','A1','2','0','1','1','0','0',,'x',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'46','15-01-2014 06:52:54','en',,'15-01-2014 06:52:54','15-01-2014 06:47:44','194.149.241.3','18','2','37','S0410','2','0','0','0','1',,'CBT','A1','1','0','1','1','1','0',,,'1','1','1','2','A1',,'CBT, Groups, Creative psychotherapy','2','4','0','0','0',,'A2','A2','A2','A3','A2','A2','1','5','D','D','A','1','1','1','1','2','1','1','1','1','1','1','1','1','1',,,,,
'47',,'en',,'15-01-2014 07:32:17','15-01-2014 07:32:17','194.149.241.3',,,,,,'0','0','0','0',,,,,'0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'48','16-01-2014 14:05:26','en',,'16-01-2014 14:05:26','16-01-2014 14:00:57','194.149.241.3','18','2','26','S04A1','1','0','0','1','0',,,'A1','1','1','1','1','0','0',,,'1','2','1','1','A1',,'Cognitive Behavioural Therapy','0','0','0','0','0',,'A2','A2','A2','A2','A2','A2','1','20','D','A','A','1','1','1','1','1','1','1','1',,'1','1','1','1','1','1','1','1','1',
'49',,'en',,'22-01-2014 07:34:38','22-01-2014 07:34:38','93.129.76.62',,,,,,'0','0','0','0',,,,,'0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'50',,'en',,'27-01-2014 16:41:45','27-01-2014 16:41:45','195.202.41.50',,,,,,'0','0','0','0',,,,,'0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'51','27-01-2014 23:42:52','en',,'27-01-2014 23:42:52','27-01-2014 22:25:26','37.24.153.177','18','1','31','S04A2','2','0','1','0','0',,'Cognitive Behavioural Therapy and Family and Marital Therapy','A1','1','1','1','1','1','0',,'Preferences are Cognitive Behavioural Therapy, Family and Marital Therapy and Group Psychotherapy.','1','1','3','2','A1',,'Cognitive Behavioural Therapy, Group Therapie','1','0','1','1','0',,'A2','A1','A1','A2','A2','A1','1','35','NAD','A','D',,,,,,,,,,,,,,,,,,,
'52',,'en',,'27-01-2014 23:44:34','27-01-2014 23:44:31','37.24.153.177',,,,,,'0','0','0','0',,,,,'0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'53',,'en',,'28-01-2014 07:53:34','28-01-2014 07:53:34','194.15.64.2',,,,,,'0','0','0','0',,,,,'0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'54',,'en',,'29-01-2014 13:13:08','29-01-2014 13:13:08','92.75.171.105',,,,,,'0','0','0','0',,,,,'0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
